"COORDINATE_UNCERTAINTY_METERS_INVALID","CONTINENT_COORDINATE_MISMATCH","CONTINENT_COUNTRY_MISMATCH","CONTINENT_DERIVED_FROM_COORDINATES","CONTINENT_DERIVED_FROM_COUNTRY","COORDINATE_ACCURACY_INVALID","COORDINATE_PRECISION_INVALID","COORDINATE_PRECISION_UNCERTAINTY_MISMATCH","COORDINATE_REPROJECTED","ELEVATION_NON_NUMERIC","ELEVATION_NOT_METRIC","ELEVATION_UNLIKELY","CONTINENT_INVALID","COUNTRY_DERIVED_FROM_COORDINATES","COUNTRY_INVALID","ELEVATION_MIN_MAX_SWAPPED","COORDINATE_ROUNDED","DEPTH_MIN_MAX_SWAPPED","DEPTH_NON_NUMERIC","DEPTH_NOT_METRIC","DEPTH_UNLIKELY","COUNTRY_MISMATCH","COORDINATE_REPROJECTION_FAILED","COORDINATE_REPROJECTION_SUSPICIOUS","GEODETIC_DATUM_INVALID","PRESUMED_NEGATED_LATITUDE","PRESUMED_NEGATED_LONGITUDE","PRESUMED_SWAPPED_COORDINATE","GEODETIC_DATUM_ASSUMED_WGS84","COORDINATE_INVALID","COORDINATE_OUT_OF_RANGE","COUNTRY_COORDINATE_MISMATCH","ZERO_COORDINATE","AMBIGUOUS_COLLECTION","AMBIGUOUS_INSTITUTION","BASIS_OF_RECORD_INVALID","COLLECTION_MATCH_FUZZY","COLLECTION_MATCH_NONE","DIFFERENT_OWNER_INSTITUTION","FOOTPRINT_SRS_INVALID","FOOTPRINT_WKT_INVALID","FOOTPRINT_WKT_MISMATCH","GEOREFERENCED_DATE_INVALID","GEOREFERENCED_DATE_UNLIKELY","IDENTIFIED_DATE_INVALID","IDENTIFIED_DATE_UNLIKELY","INDIVIDUAL_COUNT_CONFLICTS_WITH_OCCURRENCE_STATUS","INDIVIDUAL_COUNT_INVALID","INSTITUTION_COLLECTION_MISMATCH","INSTITUTION_MATCH_FUZZY","INSTITUTION_MATCH_NONE","INTERPRETATION_ERROR","MODIFIED_DATE_INVALID","MODIFIED_DATE_UNLIKELY","MULTIMEDIA_DATE_INVALID","MULTIMEDIA_URI_INVALID","OCCURRENCE_STATUS_INFERRED_FROM_BASIS_OF_RECORD","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","OCCURRENCE_STATUS_UNPARSABLE","POSSIBLY_ON_LOAN","RECORDED_DATE_INVALID","RECORDED_DATE_MISMATCH","RECORDED_DATE_UNLIKELY","REFERENCES_URI_INVALID","TAXON_MATCH_AGGREGATE","TAXON_MATCH_FUZZY","TAXON_MATCH_HIGHERRANK","TAXON_MATCH_NONE","TYPE_STATUS_INVALID","Ctrl_bibliographicCitation","Ctrl_language","Ctrl_institutionCode","Ctrl_collectionCode","Ctrl_datasetName","Ctrl_basisOfRecord","Ctrl_informationWithheld","Ctrl_dataGeneralizations","Ctrl_occurrenceID","Ctrl_catalogNumber","Ctrl_recordNumber","Ctrl_recordedBy","Ctrl_georeferenceVerificationStatus","Ctrl_occurrenceStatus","Ctrl_eventDate","Ctrl_year","Ctrl_month","Ctrl_day","Ctrl_habitat","Ctrl_fieldNotes","Ctrl_eventRemarks","Ctrl_locationID","Ctrl_higherGeography","Ctrl_islandGroup","Ctrl_island","Ctrl_countryCode","Ctrl_stateProvince","Ctrl_county","Ctrl_municipality","Ctrl_locality","Ctrl_verbatimLocality","Ctrl_locationRemarks","Ctrl_decimalLatitude","Ctrl_decimalLongitude","Ctrl_verbatimCoordinateSystem","Ctrl_verbatimIdentification","Ctrl_identificationQualifier","Ctrl_typeStatus","Ctrl_identifiedBy","Ctrl_dateIdentified","Ctrl_scientificName","Ctrl_family","Ctrl_taxonRank","Ctrl_nomenclaturalCode","Ctrl_taxonomicStatus","Ctrl_issue","Ctrl_mediaType","Ctrl_hasCoordinate","Ctrl_hasGeospatialIssues","Ctrl_verbatimScientificName","Ctrl_level0Name","Ctrl_level1Name","Ctrl_level2Name","Ctrl_level3Name","wcvp_plant_name_id","wcvp_taxon_rank","wcvp_taxon_status","wcvp_family","wcvp_taxon_name","wcvp_taxon_authors","wcvp_accepted_plant_name_id","wcvp_reviewed","wcvp_searchedName","wcvp_taxon_status_of_searchedName","wcvp_plant_name_id_of_searchedName","wcvp_taxon_authors_of_searchedName","wcvp_verified_author","wcvp_verified_speciesName","wcvp_searchNotes","Ctrl_nameRecordedBy_Standard","Ctrl_recordNumber_Standard","Ctrl_key_family_recordedBy_recordNumber","Ctrl_key_year_recordedBy_recordNumber","Ctrl_geospatial_quality","Ctrl_verbatim_quality","Ctrl_moreInformativeRecord","Ctrl_selectedMoreInformativeRecord","Ctrl_thereAreDuplicates","Ctrl_unmatched","Ctrl_unidentifiedSample","Ctrl_sampleTaxonName","Ctrl_matchStatusDuplicates","Ctrl_sampleIdentificationStatus","Ctrl_numberTaxonNamesSample","Ctrl_useful_spatial_analysis","ID"
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"es","Universidad de Antioquia (UdeA)","HUA",,"PRESERVED_SPECIMEN",,,"UdeA:HUA:54743","54743","1657","Fonnegra R.;Curso Taxonomía de Plantas Vasculares.",,"PRESENT",1985-05-01,1985,5,1,,"Árbol de 8 m de altura. fruto joven verde opaco con resina amarillosa. semilla negra brillante",,,,,,"CO","Antioquia","Santa Fé de Antioquia",,"Carretera que conduce a Anzá","Carretera que conduce a Anzá",,6.485826,-75.833579,,"Achatocarpus nigricans Triana",,,"Liesner R.",,"Achatocarpus nigricans Triana","Achatocarpaceae","SPECIES",,"ACCEPTED","COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,TRUE,FALSE,"Achatocarpus nigricans","Colombia","Antioquia","Santafé de Antioquia",,500156,"Species","Accepted","Achatocarpaceae","Achatocarpus nigricans","Triana",500156,"Y","Achatocarpus nigricans Triana",,,,100,100,"Accepted","FONNEGRA",1657,"ACHATOCARPACEAE_FONNEGRA_1657","1985_FONNEGRA_1657",-1,7,6,FALSE,TRUE,FALSE,FALSE,"Achatocarpus nigricans","matched","identified",1,TRUE,3
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"es","Universidad de Antioquia (UdeA)","HUA",,"PRESERVED_SPECIMEN",,,"UdeA:HUA:187325","187325","4101A","Duque J.",,"PRESENT",,,,,,,,,,,,"CO","Valle del Cauca","Cartago",,,,,4.720257,-75.916522,,"Achatocarpus nigricans Triana",,,,1946-12-21,"Achatocarpus nigricans Triana","Achatocarpaceae","SPECIES",,"ACCEPTED","COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,TRUE,FALSE,"Achatocarpus nigricans","Colombia","Valle del Cauca","Cartago",,500156,"Species","Accepted","Achatocarpaceae","Achatocarpus nigricans","Triana",500156,"Y","Achatocarpus nigricans Triana",,,,100,100,"Accepted","DUQUE",4101,"ACHATOCARPACEAE_DUQUE_4101","noYear_DUQUE_4101",-1,5,4,FALSE,TRUE,FALSE,FALSE,"Achatocarpus nigricans","matched","identified",1,TRUE,5
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"es","Universidad de Antioquia (UdeA)","HUA",,"PRESERVED_SPECIMEN",,,"UdeA:HUA:13036","13036","732","Bunch P.;Arboleda O.;Brand J.;Santa J.",,"PRESENT",1980-07-06,1980,7,6,,"Shrub or small tree. fruit green when fresh. stain paper black",,,,,,"CO","La Guajira","Albania",,"Arroyo Tabaco. cerca de campamento Tabaco. Intercor coal","Along arroyo Tabaco near the Intercor coal camp",,11.11303,-72.56992,,"Achatocarpus nigricans Triana",,,"Bunch P.",1980-07-04,"Achatocarpus nigricans Triana","Achatocarpaceae","SPECIES",,"ACCEPTED","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,TRUE,FALSE,"Achatocarpus nigricans","Colombia","La Guajira","Maicao",,500156,"Species","Accepted","Achatocarpaceae","Achatocarpus nigricans","Triana",500156,"Y","Achatocarpus nigricans Triana",,,,100,100,"Accepted","BUNCH",732,"ACHATOCARPACEAE_BUNCH_732","1980_BUNCH_732",0,7,7,FALSE,TRUE,FALSE,FALSE,"Achatocarpus nigricans","matched","identified",1,TRUE,12
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"es","Universidad de Antioquia (UdeA)","HUA",,"PRESERVED_SPECIMEN",,,"UdeA:HUA:13035","13035","392","Bunch P.;Arboleda O.;Von Loh J.",,"PRESENT",1981-03-06,1981,3,6,,"Flowers white. raceme pendulous. 3 meters high",,,,,,"CO","La Guajira","Barrancas",,"Vía Roche - Manatial. cerca arroyo El Cequión","Near an arroyo near Roche. where it crosses the road from Roche to Manantial",,11.0783,-72.64645,,"Achatocarpus nigricans Triana",,,"Bunch P.",1981-03-01,"Achatocarpus nigricans Triana","Achatocarpaceae","SPECIES",,"ACCEPTED","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,TRUE,FALSE,"Achatocarpus nigricans","Colombia","La Guajira","Barrancas",,500156,"Species","Accepted","Achatocarpaceae","Achatocarpus nigricans","Triana",500156,"Y","Achatocarpus nigricans Triana",,,,100,100,"Accepted","BUNCH",392,"ACHATOCARPACEAE_BUNCH_392","1981_BUNCH_392",0,7,7,FALSE,TRUE,FALSE,FALSE,"Achatocarpus nigricans","matched","identified",1,TRUE,13
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"es","Universidad de Antioquia (UdeA)","HUA",,"PRESERVED_SPECIMEN",,,"UdeA:HUA:114499","114499","392","Bunch P.",,"PRESENT",1981-03-06,1981,3,6,,"Arbusto. flor blanca",,,,,,"CO","La Guajira","Barrancas",,"Vía Roche - Manatial. cerca arroyo El Cequión","Arroyo Roche. cruce de caminos entre Roche y Manantial",,11.0783,-72.64645,,"Achatocarpus nigricans Triana",,,,,"Achatocarpus nigricans Triana","Achatocarpaceae","SPECIES",,"ACCEPTED","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,TRUE,FALSE,"Achatocarpus nigricans","Colombia","La Guajira","Barrancas",,500156,"Species","Accepted","Achatocarpaceae","Achatocarpus nigricans","Triana",500156,"Y","Achatocarpus nigricans Triana",,,,100,100,"Accepted","BUNCH",392,"ACHATOCARPACEAE_BUNCH_392","1981_BUNCH_392",0,7,7,FALSE,TRUE,FALSE,FALSE,"Achatocarpus nigricans","matched","identified",1,TRUE,16
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,"K","Herbarium",,"PRESERVED_SPECIMEN",,,"http://specimens.kew.org/herbarium/K000407263","K000407263","2283","Balansa, B.",,"PRESENT",,,,,"Dans les bois.",,"Arbrisseau dioïque de 3 - 4 mètres de hauteur. - Fleurs mâles blanchâtres; fruits charnus, diophanes.",,,,,"PY",,,,"Asunción",,,,,,,,,,,"Achatocarpus obovatus Schinz & Autran","Achatocarpaceae","SPECIES",,"SYNONYM","CONTINENT_DERIVED_FROM_COUNTRY;RECORDED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY","StillImage",FALSE,FALSE,"Achatocarpus obovatus Schinz & Autran",,,,,500161,"Form","Accepted","Achatocarpaceae","Achatocarpus praecox f. obovatus","(Schinz & Autran) Hauman",500161,"Y","Achatocarpus obovatus Schinz & Autran","Synonym",500158,"Schinz & Autran",100,100,"Updated","BALANSA",2283,"ACHATOCARPACEAE_BALANSA_2283","noYear_BALANSA_2283",-1,5,4,FALSE,TRUE,FALSE,FALSE,"Achatocarpus praecox f. obovatus","matched","divergent identifications",2,TRUE,20
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,"K","Herbarium",,"PRESERVED_SPECIMEN",,,"http://specimens.kew.org/herbarium/K000407264","K000407264","8878","Hassler, E.",,"PRESENT",1905-10-05,1905,10,5,,,,,,,,"PY",,,,"In viciniis Caaguazú",,,,,,,,,,,"Achatocarpus balansae Schinz & Autran","Achatocarpaceae","SPECIES",,"ACCEPTED","CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY","StillImage",FALSE,FALSE,"Achatocarpus balansae Schinz & Autran",,,,,500146,"Species","Accepted","Achatocarpaceae","Achatocarpus balansae","Schinz & Autran",500146,"Y","Achatocarpus balansae Schinz & Autran",,,,100,100,"Accepted","HASSLER",8878,"ACHATOCARPACEAE_HASSLER_8878","1905_HASSLER_8878",-1,6,5,FALSE,TRUE,FALSE,FALSE,"Achatocarpus balansae","matched","divergent identifications",3,TRUE,21
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,"K","Herbarium",,"PRESERVED_SPECIMEN",,,"http://specimens.kew.org/herbarium/K000407258","K000407258","15503","Eggers, H.",,"PRESENT",,,,,,,"Tree 12 ft. Flowers greenish.",,,,,"EC",,,,,,,,,,,,"SYNTYPE","Bittrich, V.",,"Achatocarpus pubescens C.H.Wright","Achatocarpaceae","SPECIES",,"ACCEPTED","CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY","StillImage",FALSE,FALSE,"Achatocarpus pubescens C.H.Wright",,,,,500163,"Species","Accepted","Achatocarpaceae","Achatocarpus pubescens","C.H.Wright",500163,"Y","Achatocarpus pubescens C.H.Wright",,,,100,100,"Accepted","EGGERS",15503,"ACHATOCARPACEAE_EGGERS_15503","noYear_EGGERS_15503",-1,4,3,FALSE,TRUE,FALSE,FALSE,"Achatocarpus pubescens","matched","identified",1,TRUE,22
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,"K","Herbarium",,"PRESERVED_SPECIMEN",,,"http://specimens.kew.org/herbarium/K000407267","K000407267","718","Langlassé, E.",,"PRESENT",1898-12-23,1898,12,23,"Alluvions",,"Arbre rabougri, ramifié. Fleurs jaune verdâtre.",,,,,"MX",,,,"Petatlán",,,,,,,,,,,"Achatocarpus gracilis H.Walter","Achatocarpaceae","SPECIES",,"ACCEPTED","CONTINENT_DERIVED_FROM_COUNTRY;TYPE_STATUS_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY","StillImage",FALSE,FALSE,"Achatocarpus gracilis H.Walter",,,,,500150,"Species","Accepted","Achatocarpaceae","Achatocarpus gracilis","H.Walter",500150,"Y","Achatocarpus gracilis H.Walter",,,,100,100,"Accepted","LANGLASSE",718,"ACHATOCARPACEAE_LANGLASSE_718","1898_LANGLASSE_718",-1,6,5,FALSE,TRUE,FALSE,FALSE,"Achatocarpus gracilis","matched","identified",1,TRUE,23
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,"K","Herbarium",,"PRESERVED_SPECIMEN",,,"http://specimens.kew.org/herbarium/K000407257","K000407257","15316","Asplund, E.",,"PRESENT",1955-02-04,1955,2,4,"grove in savanna",,,,,,,"EC",,,,"Prov. Guayas, El Progreso",,,,,,,,,,,"Achatocarpus pubescens C.H.Wright","Achatocarpaceae","SPECIES",,"ACCEPTED","CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY","StillImage",FALSE,FALSE,"Achatocarpus pubescens C.H.Wright",,,,,500163,"Species","Accepted","Achatocarpaceae","Achatocarpus pubescens","C.H.Wright",500163,"Y","Achatocarpus pubescens C.H.Wright",,,,100,100,"Accepted","ASPLUND",15316,"ACHATOCARPACEAE_ASPLUND_15316","1955_ASPLUND_15316",-1,6,5,FALSE,TRUE,FALSE,FALSE,"Achatocarpus pubescens","matched","identified",1,TRUE,24
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,"K","Herbarium",,"PRESERVED_SPECIMEN",,,"http://specimens.kew.org/herbarium/K000407266","K000407266","6926","Hassler, E.",,"PRESENT",,,,,"In regione cursus superioris fluminis",,,,,,,"PY",,,,"In regione cursus superioris fluminis Y-acá",,,,,,,,,,,"Achatocarpus brevipedicellatus H.Walter","Achatocarpaceae","SPECIES",,"ACCEPTED","CONTINENT_DERIVED_FROM_COUNTRY;RECORDED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY","StillImage",FALSE,FALSE,"Achatocarpus brevipedicellatus H.Walter",,,,,500149,"Species","Accepted","Achatocarpaceae","Achatocarpus brevipedicellatus","H.Walter",500149,"Y","Achatocarpus brevipedicellatus H.Walter",,,,100,100,"Accepted","HASSLER",6926,"ACHATOCARPACEAE_HASSLER_6926","noYear_HASSLER_6926",-1,5,4,FALSE,TRUE,FALSE,FALSE,"Achatocarpus brevipedicellatus","matched","identified",1,TRUE,25
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,"K","Herbarium",,"PRESERVED_SPECIMEN",,,"http://specimens.kew.org/herbarium/K000407262","K000407262","2282a.","Balansa, B.",,"PRESENT",1874-09-07,1874,9,7,"Dans les haies",,"Disc very obscure. 2 bractlets.  Arbriseeau de 3 - 4 mètres de hauteur.",,,,,"PY",,,,"[Sbitimi]",,,,,,,,,,,"Achatocarpus bicornutus Schinz & Autran","Achatocarpaceae","SPECIES",,"SYNONYM","CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY","StillImage",FALSE,FALSE,"Achatocarpus bicornutus Schinz & Autran",,,,,500160,"Variety","Accepted","Achatocarpaceae","Achatocarpus praecox var. bicornutus","(Schinz & Autran) Botta",500160,"Y","Achatocarpus bicornutus Schinz & Autran","Synonym",500147,"Schinz & Autran",100,100,"Updated","BALANSA",2282,"ACHATOCARPACEAE_BALANSA_2282","1874_BALANSA_2282",-1,6,5,FALSE,TRUE,FALSE,FALSE,"Achatocarpus praecox var. bicornutus","matched","divergent identifications",2,TRUE,26
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,"K","Herbarium",,"PRESERVED_SPECIMEN",,,"http://specimens.kew.org/herbarium/K000407260","K000407260","15503","Eggers, H.",,"PRESENT",,,,,,,"Tree 12 ft. Flowers greenish.",,,,,"EC",,,,,,,,,,,,,,,"Achatocarpus pubescens C.H.Wright","Achatocarpaceae","SPECIES",,"ACCEPTED","CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY","StillImage",FALSE,FALSE,"Achatocarpus pubescens C.H.Wright",,,,,500163,"Species","Accepted","Achatocarpaceae","Achatocarpus pubescens","C.H.Wright",500163,"Y","Achatocarpus pubescens C.H.Wright",,,,100,100,"Accepted","EGGERS",15503,"ACHATOCARPACEAE_EGGERS_15503","noYear_EGGERS_15503",-1,4,3,FALSE,TRUE,FALSE,FALSE,"Achatocarpus pubescens","matched","identified",1,TRUE,28
